City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,Dwarka,IN,64.18,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
424,Ures,MX,76.12,overcast clouds,29.4333,-110.4,Hotel HACIENDA San Francisco
427,Sri Aman,MY,75.25,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
429,Dakar,SN,74.28,clear sky,14.6937,-17.4441,Redface Studios Meublés
431,Upington,ZA,75.58,few clouds,-28.4478,21.2561,River Place Manor
432,Davila,PH,69.78,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
434,Luganville,VU,87.26,clear sky,-15.5333,167.1667,The Espiritu Hotel
435,Port Macquarie,AU,78.76,clear sky,-31.4333,152.9167,Rydges Port Macquarie
437,Bandar-E Lengeh,IR,62.71,clear sky,26.5579,54.8807,کافی نت پارس
438,Lindi,TZ,75.56,overcast clouds,-10.0,39.7167,Lindi paradise house
441,Port Keats,AU,81.21,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
442,Kedougou,SN,78.64,few clouds,12.5579,-12.1743,Relais de Kédougou
443,Ko Samui,TH,80.74,broken clouds,9.5357,99.9357,The Passage
445,Kloulklubed,PW,81.1,broken clouds,7.0419,134.2556,Storyboard Beach Resort
446,Bowen,AU,84.42,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
447,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
449,Eirunepe,BR,71.83,overcast clouds,-6.6603,-69.8736,Atrás de você
450,Ampanihy,MG,76.73,overcast clouds,-24.7,44.75,Angora Hotel
454,Manga,BF,75.76,clear sky,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
457,Libreville,GA,78.3,moderate rain,0.3925,9.4537,Le Méridien Re-Ndama
458,Les Cayes,HT,72.93,few clouds,18.2,-73.75,Villa Orphee
459,Zinder,NE,65.68,clear sky,13.8072,8.9881,Hotel de Ville
461,Bouna,CI,76.41,clear sky,9.2667,-3.0,Hôtel lababa
463,Yeppoon,AU,82.18,broken clouds,-23.1333,150.7333,Villa Mar Colina
466,Mount Isa,AU,91.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
468,Gizo,SB,85.24,light rain,-8.103,156.8419,Imagination Island
477,Marawi,PH,69.66,overcast clouds,7.9986,124.2928,Derogongan Residence
480,Lhokseumawe,ID,77.9,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
485,Bubaque,GW,78.93,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
486,Cordoba,AR,85.05,clear sky,-31.4135,-64.1811,Hotel Sussex
487,Muisne,EC,76.82,overcast clouds,0.6,-80.0333,Quinta Samay
488,Wajir,KE,76.48,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
490,Danielskuil,ZA,69.17,scattered clouds,-28.1887,23.5395,Botha'Sig Gastehuis
491,Meulaboh,ID,75.97,overcast clouds,4.1363,96.1285,Kost Pria
492,Dunedin,NZ,60.37,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
