City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Asau,RO,46.4333,26.4,14.95,91,9,2.66,clear sky
187,Susanville,US,40.4163,-120.653,43.66,69,0,3.44,clear sky
188,Staryy Nadym,RU,65.6118,72.6842,11.57,92,100,16.62,overcast clouds
189,Thompson,CA,55.7435,-97.8558,-21.84,76,20,5.75,few clouds
190,Khoy,IR,38.5504,44.9535,33.84,82,99,5.84,overcast clouds
191,Rehoboth,NA,-23.3167,17.0833,68.2,29,100,4.29,overcast clouds
192,Kavaratti,IN,10.5669,72.642,78.35,68,100,10.87,overcast clouds
193,Suntar,RU,62.1444,117.6319,-9.38,99,100,2.39,overcast clouds
194,Jiuquan,CN,39.7432,98.5174,17.73,50,62,2.19,broken clouds
195,Boueni,YT,-12.9025,45.0761,80.58,74,98,7.29,overcast clouds
196,Stromness,GB,58.965,-3.296,48.45,81,100,39.91,overcast clouds
197,Clarence Town,AU,-32.5833,151.7833,82.62,53,42,6.2,scattered clouds
198,Skibbereen,IE,51.55,-9.2667,40.8,84,0,1.07,clear sky
199,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,77.94,82,100,0.56,overcast clouds
200,Port Elizabeth,ZA,-33.918,25.5701,70.11,88,100,9.22,overcast clouds
201,Lorengau,PG,-2.0226,147.2712,85.17,67,98,11.54,overcast clouds
202,Berlevag,NO,70.8578,29.0864,35.69,90,100,28.5,overcast clouds
203,Bambous Virieux,MU,-20.3428,57.7575,79.05,89,40,9.22,scattered clouds
204,Pangai,TO,-19.8,-174.35,84.31,74,75,11.5,broken clouds
205,Airai,TL,-8.9266,125.4092,69.57,74,100,3.6,overcast clouds
206,Lima,PE,-12.0432,-77.0282,72.14,60,0,8.05,clear sky
207,Gap,FR,44.6667,6.0,11.84,71,0,5.93,clear sky
208,Khandagayty,RU,50.7333,92.05,-11.0,95,100,2.44,overcast clouds
209,Ayan,RU,56.45,138.1667,2.17,76,100,3.15,overcast clouds
210,Saint-Philippe,RE,-21.3585,55.7679,77.22,86,100,10.89,light rain
211,Banda Aceh,ID,5.5577,95.3222,78.8,81,47,10.38,scattered clouds
